Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBIT Surprise %,EBITDA,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
06/30/1989,,,5.571,,5.571,5.571,,,,,,,,,,,
09/30/1989,,,7.509,,7.509,7.509,,,,,,,,,,,
12/31/1989,,,7.996,,7.996,7.996,,,,,,,,,,,
03/31/1990,,,0.0,,8.605,8.605,,,,,,,,,,,
06/30/1990,,,8.27,,8.27,8.27,,,,,,,,,,,
09/30/1990,,,9.078,,9.078,9.078,,,,,,,,,,,
12/31/1990,,,9.715,,9.715,9.715,,,,,,,,,,,
03/31/1991,,,0.0,,10.806,10.806,,,,,,,,,,,
06/30/1991,,,10.758,,10.758,10.758,,,,,,,,,,,
09/30/1991,,,12.269,,12.269,12.269,,,,,,,,,,,
12/31/1991,,,12.701,,12.701,12.701,,,,,,,,,,,
03/31/1992,,,0.0,,13.841,13.841,,,,,,,,,,,
06/30/1992,,,13.969,,13.969,13.969,,,,,,,,,,,
09/30/1992,,,15.797,,15.797,15.797,,,,,,,,,,,
12/31/1992,,,16.739,,16.739,16.739,,,,,,,,,,,
03/31/1993,,,0.0,,17.802,17.802,,,,,,,,,,,
06/30/1993,,,17.544001,,17.544001,17.544001,,,,,,,,,,,
09/30/1993,,,19.547001,,19.547001,19.547001,,,,,,,,,,,
12/31/1993,,,20.809,,20.809,20.809,,,,,,,,,,,
03/31/1994,,,0.0,,22.298,22.298,,,,,,,,,,,
06/30/1994,,,22.143999,,22.143999,22.143999,,,,,,,,,,,
09/30/1994,,,24.565001,,24.565001,24.565001,,,,,,,,,,,
12/31/1994,,,25.719999,,25.719999,25.719999,,,,,,,,,,,
03/31/1995,,,0.0,,27.719999,27.719999,,,,,,,,,,,
06/30/1995,,,26.555,,26.555,26.555,,,,,,,,,,,
09/30/1995,,,29.188999,,29.188999,29.188999,,,,,,,,,,,
12/31/1995,,,24.871,,24.871,24.871,,,,,,,,,,,
03/31/1996,,,0.0,,23.629999,23.629999,,,,,,,,,,,
06/30/1996,,,9.179,,21.865999,21.865999,,,,,,,,,,,
09/30/1996,,,5.573,,5.573,5.573,,,,,,,,,,,
12/31/1996,,,-30.063,,-32.313,-32.313,,,,,,,,,,,
03/31/1997,,,0.0,,-18.667,-18.667,,,,,,,,,,,
06/30/1997,,,0.659,,0.659,0.659,,,,,,,,,,,
