Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Gross Margin Surprise %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
04/29/1989,,,45.188999,,45.188999,45.188999,,,,,,,,,,,,,
07/29/1989,,,63.780998,,63.780998,63.780998,,,,,,,,,,,,,
10/28/1989,,,84.869003,,84.869003,84.869003,,,,,,,,,,,,,
02/03/1990,,,153.087006,,153.087006,153.087006,,,,,,,,,,,,,
05/05/1990,,,62.314999,,62.314999,62.314999,,,,,,,,,,,,,
08/04/1990,,,79.025002,,79.025002,79.025002,,,,,,,,,,,,,
11/03/1990,,,84.917,,84.917,84.917,,,,,,,,,,,,,
02/02/1991,,,0.0,,172.181,172.181,,,,,,,,,,,,,
05/04/1991,,,50.860001,,50.860001,50.860001,,,,,,,,,,,,,
08/03/1991,,,79.224998,,79.224998,79.224998,,,,,,,,,,,,,
11/02/1991,,,72.872002,,72.872002,72.872002,,,,,,,,,,,,,
02/01/1992,,,0.0,,200.345001,200.345001,,,,,,,,,,,,,
05/02/1992,,,51.525002,,51.525002,51.525002,,,,,,,,,,,,,
08/01/1992,,,80.072998,,80.072998,80.072998,,,,,,,,,,,,,
10/31/1992,,,79.995003,,79.995003,79.995003,,,,,,,,,,,,,
01/30/1993,,,0.0,,243.904007,243.904007,,,,,,,,,,,,,
05/01/1993,,,44.224998,,44.224998,44.224998,,,,,,,,,,,,,
07/31/1993,,,68.232002,,68.232002,68.232002,,,,,,,,,,,,,
10/31/1993,,,82.214996,,82.214996,82.214996,,,,,,,,,,,,,
01/29/1994,,,0.0,,196.326996,196.326996,,,,,,,,,,,,,
04/30/1994,,,47.276001,,47.276001,47.276001,,,,,,,,,,,,,
07/31/1994,,,53.832001,,53.832001,53.832001,,,,,,,,,,,,,
10/29/1994,,,90.489998,,90.489998,90.489998,,,,,,,,,,,,,
01/28/1995,,,0.0,,256.743011,256.743011,,,,,,,,,,,,,
